VISITOR, HOME, DATE
"Chiefs","Redskins","12-8-2013,13:00"
"Panthers","Saints","12-8-2013,13:00"
"Lions","Eagles","12-8-2013,13:00"
"Titans","Broncos","12-8-2013,16:05"
"Rams","Cardinals","12-8-2013,16:25"
"Giants","Chargers","12-8-2013,16:25"
"Seahawks","49ers","12-8-2013,16:25"
"Falcons","Packers","12-8-2013,20:30"
"Cowboys","Bears","12-9-2013,20:40"
"Chargers","Broncos","12-12-2013,20:25"
"Bears","Browns","12-15-2013,13:00"
"Texans","Colts","12-15-2013,13:00"
"Bills","Jaguars","12-15-2013,13:00"
"Redskins","Falcons","12-15-2013,13:00"
"Patriots","Dolphins","12-15-2013,13:00"
"49ers","Bucs","12-15-2013,13:00"
"Seahawks","Giants","12-15-2013,13:00"
"Saints","Rams","12-15-2013,13:00"
"Eagles","Vikings","12-15-2013,13:00"
"Cardinals","Titans","12-15-2013,13:00"
"Jets","Panthers","12-15-2013,16:05"
"Chiefs","Raiders","12-15-2013,16:05"
"Packers","Cowboys","12-15-2013,16:25"
"Bengals","Steelers","12-15-2013,20:30"
"Ravens","Lions","12-16-2013,20:40"
"Vikings","Bengals","12-22-2013,13:00"
"Dolphins","Bills","12-22-2013,13:00"
"Colts","Chiefs","12-22-2013,13:00"
"Browns","Jets","12-22-2013,13:00"
"Broncos","Texans","12-22-2013,13:00"
"Titans","Jaguars","12-22-2013,13:00"
"Cowboys","Redskins","12-22-2013,13:00"
"Bears","Eagles","12-22-2013,13:00"
"Saints","Panthers","12-22-2013,13:00"
"Bucs","Rams","12-22-2013,13:00"
"Giants","Lions","12-22-2013,16:05"
"Cardinals","Seahawks","12-22-2013,16:05"
"Steelers","Packers","12-22-2013,16:25"
"Raiders","Chargers","12-22-2013,16:25"
"Patriots","Ravens","12-22-2013,20:30"
"Falcons","49ers","12-23-2013,20:40"
"Panthers","Falcons","12-29-2013,13:00"
"Jets","Dolphins","12-29-2013,13:00"
"Ravens","Bengals","12-29-2013,13:00"
"Bills","Patriots","12-29-2013,13:00"
"Browns","Steelers","12-29-2013,13:00"
"Jaguars","Colts","12-29-2013,13:00"
"Texans","Titans","12-29-2013,13:00"
"Lions","Vikings","12-29-2013,13:00"
"Eagles","Cowboys","12-29-2013,13:00"
"Packers","Bears","12-29-2013,13:00"
"Redskins","Giants","12-29-2013,13:00"
"Bucs","Saints","12-29-2013,13:00"
"Rams","Seahawks","12-29-2013,16:25"
"Broncos","Raiders","12-29-2013,16:25"
"Chiefs","Chargers","12-29-2013,16:25"
"49ers","Cardinals","12-29-2013,16:25"
